type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,smaka,vakna,grubbla,stanna,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,space,8.1370359,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,falla,lukta,skratta,prata,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,space,13.6761647,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,sova,anta,viska,rodna,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,5.8187042,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,le,gråta,ropa,titta,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,4.6778744,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,m,3.8585321,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,le,gråta,ropa,titta,,,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,space,2.5996024,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,sova,anta,viska,rodna,,,,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,space,4.5170872,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,falla,lukta,skratta,prata,,,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,space,3.8535187,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,smaka,vakna,grubbla,stanna,,,,1,0,1,0,0,3,3,1,,,,,,,,,,,,,,,,,space,4.9381726,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,skratta,rodna,prata,lukta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,space,4.7936044,b,16.7155893,return,9.703133,space,3.9109441,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,grubbla,viska,stanna,falla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,6.075113,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,smaka,ropa,sova,gråta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,space,3.929334,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
training,vakna,titta,le,anta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,space,4.3398797,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
leg,jogga,halta,marschera,rusa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,9.7240181,b,4.3514818,,,,,space,3.8500164,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,bulta,skyffla,klippa,klösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,7.9318327,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,knacka,gnugga,skrubba,skura,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,space,6.1248631,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
leg,svaja,vackla,flanera,kila,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,space,5.2915916,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,ösa,snärta,rota,polera,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,space,7.8867036,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
leg,promenera,knalla,hoppa,cykla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,5,5,5,space,13.5777119,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,hacka,sno,knycka,slipa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,6,6,6,space,5.1279706,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,skala,signera,hissa,plocka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,7,7,7,space,5.3141633,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
leg,löpa,ränna,skutta,sparka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,8,8,8,space,7.9987967,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,vika,gripa,slå,torka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,9,9,9,space,4.4845326,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
leg,vandra,stampa,skejta,ströva,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,10,10,10,space,10.9273261,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
leg,fly,tåga,stega,strutta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,11,11,11,space,4.8855417,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,svabba,nypa,fila,borsta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,12,12,12,space,5.4036062,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
leg,vada,trippa,vingla,snava,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,13,13,13,space,5.7154771,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,fläta,kasta,piska,karva,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,14,14,14,space,5.7638069,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
leg,trampa,traska,skrida,vanka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,15,15,15,space,6.11065,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
arm,repa,rycka,daska,dunka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,0,16,16,16,space,6.6919509,,,,,,,,,2020_Dec_04_1331,59.8390330012,sp13_replication_swe,1,19,
